feature,mean_abs_shap
pct_neutral,0.63616645
help_seeking_density,0.6020428
pct_negative_roll2w,0.49552503
avg_negative_delta,0.41207477
distress_density_roll2w,0.3891942
pct_positive_roll4w,0.30443823
first_person_singular_ratio_roll2w,0.29153368
pct_positive_roll2w,0.27017495
new_poster_ratio_delta,0.25044528
pct_negative_roll4w,0.23059626
avg_word_count_roll2w,0.22904927
new_poster_ratio,0.22843419
avg_positive,0.2255223
first_person_singular_ratio,0.22247095
avg_flesch_kincaid_delta,0.22044452
pct_very_negative_roll4w,0.21682197
avg_type_token_ratio_roll4w,0.20303974
topic_entropy_roll2w,0.18449467
hopelessness_density_delta,0.16970235
pct_neutral_delta,0.14778638
pct_negative,0.13924399
new_poster_ratio_roll4w,0.13656382
first_person_plural_ratio_delta,0.1358855
hopelessness_density,0.13054913
topic_shift_jsd_4w,0.120923355
topic_shift_jsd,0.116195455
pct_positive,0.115009636
topic_shift_jsd_4w_roll4w,0.112153
topic_entropy_delta,0.11044102
pct_positive_delta,0.11017617
avg_positive_roll4w,0.09776344
first_person_plural_ratio,0.09067385
help_seeking_density_roll4w,0.077154055
avg_word_count_delta,0.07666703
topic_shift_jsd_roll4w,0.06665679
pct_neutral_roll2w,0.06291369
post_volume_roll4w,0.05887381
help_seeking_density_roll2w,0.055002306
new_poster_ratio_roll2w,0.054641575
avg_negative,0.05202684
avg_neutral,0.049353823
std_word_count,0.046671484
post_volume_delta,0.045178957
first_person_singular_ratio_roll4w,0.044128835
avg_compound_roll2w,0.043668628
avg_char_count_delta,0.042044654
topic_shift_jsd_4w_roll2w,0.038367674
avg_flesch_kincaid_roll2w,0.03340268
avg_positive_delta,0.030509515
avg_type_token_ratio_delta,0.030453123
help_seeking_density_delta,0.030361649
avg_word_count,0.030336125
avg_compound_roll4w,0.030242404
hopelessness_density_roll2w,0.027913181
hopelessness_density_roll4w,0.02780052
avg_neutral_roll4w,0.026313623
avg_positive_roll2w,0.026098182
topic_shift_jsd_roll2w,0.02539582
avg_negative_roll2w,0.025199512
avg_flesch_kincaid,0.02032948
avg_compound,0.01952687
avg_flesch_kincaid_roll4w,0.019521143
topic_shift_jsd_delta,0.019005986
first_person_plural_ratio_roll2w,0.018295694
avg_type_token_ratio,0.017491342
pct_very_negative_delta,0.017025784
post_volume_roll2w,0.01629424
topic_shift_jsd_4w_delta,0.015990345
avg_neutral_delta,0.012843766
avg_neutral_roll2w,0.012560177
distress_density,0.012282486
topic_entropy,0.011327347
avg_char_count,0.011130897
topic_entropy_roll4w,0.011114333
pct_very_negative,0.010923909
pct_negative_delta,0.010583736
avg_negative_roll4w,0.010098793
unique_posters,0.009803666
std_word_count_roll2w,0.008343912
first_person_singular_ratio_delta,0.007665904
posting_time_entropy_delta,0.006994116
distress_density_delta,0.006980665
std_word_count_delta,0.006657899
avg_word_count_roll4w,0.0063516353
avg_type_token_ratio_roll2w,0.0061661294
avg_compound_delta,0.0
dominant_topic,0.0
post_volume,0.0
avg_comments,0.0
posting_time_entropy,0.0
avg_comments_delta,0.0
unique_posters_roll2w,0.0
avg_comments_roll2w,0.0
pct_very_negative_roll2w,0.0
avg_char_count_roll2w,0.0
unique_posters_delta,0.0
posting_time_entropy_roll2w,0.0
std_word_count_roll4w,0.0
avg_char_count_roll4w,0.0
first_person_plural_ratio_roll4w,0.0
avg_comments_roll4w,0.0
pct_neutral_roll4w,0.0
distress_density_roll4w,0.0
posting_time_entropy_roll4w,0.0
unique_posters_roll4w,0.0
week_sin,0.0
week_cos,0.0
