feature,mean_abs_shap
suicidality_density_roll2w,1.411408
avg_type_token_ratio_roll4w,0.72170514
help_seeking_density_delta,0.6306906
avg_type_token_ratio_delta,0.59758145
topic_shift_jsd_4w,0.5287401
domestic_stress_density_roll2w,0.5020035
pct_neutral_roll4w,0.4659149
distress_density_roll2w,0.35397974
topic_shift_jsd_roll2w,0.2649644
avg_type_token_ratio,0.21852875
avg_compound,0.2167722
posting_time_entropy,0.20606643
pct_very_negative_delta,0.20050566
help_seeking_density,0.19808373
domestic_stress_density_roll4w,0.19803199
topic_entropy_roll2w,0.15027483
first_person_singular_ratio_roll4w,0.14317061
topic_shift_jsd_4w_roll4w,0.11908283
economic_stress_density_roll4w,0.11157629
first_person_plural_ratio_roll4w,0.099913135
avg_word_count,0.09960871
hopelessness_density_roll4w,0.083389156
avg_neutral,0.082903326
isolation_density_delta,0.07737225
pct_neutral_roll2w,0.07449132
pct_negative_delta,0.07159423
avg_neutral_roll4w,0.07091206
hopelessness_density_roll2w,0.06505934
std_word_count_roll2w,0.05457669
avg_flesch_kincaid,0.05353158
topic_shift_jsd_4w_delta,0.049697496
avg_compound_roll2w,0.047205407
help_seeking_density_roll2w,0.045972396
suicidality_density_roll4w,0.045278877
first_person_singular_ratio_roll2w,0.032602634
first_person_singular_ratio,0.03151288
unique_posters_roll4w,0.028821405
new_poster_ratio,0.02726243
first_person_plural_ratio,0.0266563
post_volume,0.02566742
isolation_density_roll2w,0.023548601
avg_positive,0.02248301
avg_word_count_roll4w,0.022024933
std_word_count,0.020836582
std_word_count_delta,0.020353984
suicidality_density,0.017808255
avg_positive_roll4w,0.016554585
post_volume_roll4w,0.013491898
unique_posters_roll2w,0.013339749
domestic_stress_density_delta,0.012727105
avg_negative,0.011838536
new_poster_ratio_delta,0.011083005
avg_negative_delta,0.00875292
first_person_plural_ratio_roll2w,0.008307014
topic_shift_jsd_roll4w,0.00811598
avg_word_count_delta,0.008034883
pct_negative_roll4w,0.007732252
avg_flesch_kincaid_roll2w,0.0056834295
std_word_count_roll4w,0.005288023
new_poster_ratio_roll2w,0.005269523
pct_positive,0.0049833367
pct_neutral,0.0048672156
distress_density_delta,0.0044672876
suicidality_density_delta,0.0041258163
first_person_plural_ratio_delta,0.0034709692
pct_negative,0.0022414275
topic_shift_jsd,0.002013877
hopelessness_density_delta,0.0
dominant_topic,0.0
unique_posters_delta,0.0
avg_comments_delta,0.0
economic_stress_density_delta,0.0
post_volume_delta,0.0
pct_neutral_delta,0.0
pct_positive_delta,0.0
avg_char_count_delta,0.0
hopelessness_density,0.0
pct_very_negative,0.0
isolation_density,0.0
domestic_stress_density,0.0
economic_stress_density,0.0
unique_posters,0.0
avg_char_count,0.0
distress_density,0.0
avg_comments,0.0
topic_entropy,0.0
avg_flesch_kincaid_delta,0.0
avg_compound_delta,0.0
first_person_singular_ratio_delta,0.0
avg_positive_delta,0.0
avg_neutral_delta,0.0
topic_entropy_delta,0.0
posting_time_entropy_delta,0.0
avg_comments_roll2w,0.0
posting_time_entropy_roll2w,0.0
pct_positive_roll2w,0.0
economic_stress_density_roll2w,0.0
pct_very_negative_roll2w,0.0
post_volume_roll2w,0.0
avg_char_count_roll2w,0.0
avg_type_token_ratio_roll2w,0.0
topic_shift_jsd_delta,0.0
avg_positive_roll2w,0.0
avg_negative_roll2w,0.0
avg_neutral_roll2w,0.0
pct_negative_roll2w,0.0
avg_word_count_roll2w,0.0
topic_shift_jsd_4w_roll2w,0.0
pct_very_negative_roll4w,0.0
pct_positive_roll4w,0.0
avg_compound_roll4w,0.0
avg_flesch_kincaid_roll4w,0.0
avg_char_count_roll4w,0.0
avg_negative_roll4w,0.0
isolation_density_roll4w,0.0
avg_comments_roll4w,0.0
help_seeking_density_roll4w,0.0
distress_density_roll4w,0.0
new_poster_ratio_roll4w,0.0
topic_entropy_roll4w,0.0
posting_time_entropy_roll4w,0.0
week_sin,0.0
week_cos,0.0
