feature,mean_abs_shap
avg_char_count,0.6258393
unique_posters_delta,0.5391386
avg_neutral_delta,0.53598905
std_word_count_roll2w,0.5250847
avg_flesch_kincaid,0.5095827
pct_neutral_delta,0.46302256
avg_neutral,0.31967562
avg_word_count_delta,0.26986706
avg_positive_delta,0.24641228
hopelessness_density_roll2w,0.22645357
avg_flesch_kincaid_delta,0.21105844
pct_positive_delta,0.18720497
avg_flesch_kincaid_roll2w,0.18360455
first_person_plural_ratio_roll4w,0.18317954
distress_density_delta,0.16783684
first_person_singular_ratio_delta,0.16394489
first_person_plural_ratio_delta,0.16232891
help_seeking_density_roll2w,0.1502919
avg_negative_delta,0.1477355
post_volume_delta,0.1445835
first_person_plural_ratio,0.13285926
hopelessness_density_roll4w,0.12307356
avg_negative_roll4w,0.12223216
pct_positive_roll2w,0.10802044
pct_very_negative_roll4w,0.10171412
pct_negative_roll2w,0.09447302
avg_compound_delta,0.08351041
help_seeking_density_roll4w,0.08134922
avg_positive_roll4w,0.06992376
std_word_count,0.06925272
distress_density_roll4w,0.06834996
help_seeking_density,0.068337314
posting_time_entropy_delta,0.06798969
avg_word_count,0.06755555
avg_compound,0.059305113
avg_neutral_roll4w,0.058998957
pct_positive_roll4w,0.046898413
post_volume_roll4w,0.046739276
avg_positive,0.045416594
avg_char_count_delta,0.043677446
pct_neutral_roll4w,0.0433825
unique_posters_roll2w,0.041076988
hopelessness_density_delta,0.040240794
pct_very_negative,0.040078606
first_person_singular_ratio_roll4w,0.039056912
std_word_count_delta,0.03550155
pct_very_negative_roll2w,0.03456135
avg_word_count_roll2w,0.033787865
avg_compound_roll2w,0.030675158
avg_negative,0.030651132
distress_density,0.030126018
unique_posters_roll4w,0.02816635
post_volume_roll2w,0.027614672
new_poster_ratio_delta,0.026514048
avg_char_count_roll2w,0.024753345
avg_neutral_roll2w,0.023959491
avg_type_token_ratio_delta,0.023532592
pct_negative_delta,0.023363745
pct_negative_roll4w,0.022696387
posting_time_entropy,0.021795029
pct_neutral,0.017283687
first_person_singular_ratio,0.015845068
std_word_count_roll4w,0.01567668
pct_positive,0.015125777
pct_neutral_roll2w,0.013670299
new_poster_ratio_roll4w,0.013058852
avg_flesch_kincaid_roll4w,0.012013708
pct_very_negative_delta,0.010937909
first_person_plural_ratio_roll2w,0.0100933835
avg_compound_roll4w,0.009105163
distress_density_roll2w,0.008758289
avg_type_token_ratio,0.0075608683
avg_positive_roll2w,0.0066640684
new_poster_ratio,0.0063746916
week_sin,0.0059257303
first_person_singular_ratio_roll2w,0.0055514886
avg_negative_roll2w,0.0048030396
pct_negative,0.0038309887
help_seeking_density_delta,0.0035130694
dominant_topic,0.0
topic_shift_jsd,0.0
topic_entropy,0.0
avg_comments,0.0
post_volume,0.0
hopelessness_density,0.0
unique_posters,0.0
avg_comments_delta,0.0
avg_comments_roll2w,0.0
topic_entropy_delta,0.0
topic_shift_jsd_delta,0.0
avg_type_token_ratio_roll2w,0.0
topic_entropy_roll2w,0.0
avg_char_count_roll4w,0.0
avg_word_count_roll4w,0.0
new_poster_ratio_roll2w,0.0
avg_type_token_ratio_roll4w,0.0
topic_shift_jsd_roll2w,0.0
posting_time_entropy_roll2w,0.0
avg_comments_roll4w,0.0
posting_time_entropy_roll4w,0.0
topic_entropy_roll4w,0.0
topic_shift_jsd_roll4w,0.0
week_cos,0.0
