feature,mean_abs_shap
help_seeking_density_roll4w,1.4533275
distress_density_roll2w,1.323227
avg_positive_delta,0.622642
topic_shift_jsd,0.52969867
topic_entropy_roll4w,0.35577726
help_seeking_density_roll2w,0.3257751
new_poster_ratio_delta,0.2931638
suicidality_density_delta,0.28050265
avg_neutral,0.25651708
isolation_density_roll2w,0.2181997
topic_shift_jsd_4w,0.1623204
new_poster_ratio_roll2w,0.13966434
std_word_count_roll2w,0.13295648
unique_posters_roll2w,0.1262923
help_seeking_density,0.12498081
avg_word_count_delta,0.12477931
economic_stress_density,0.12026865
economic_stress_density_roll4w,0.10815826
new_poster_ratio,0.10576219
avg_positive,0.10504171
pct_neutral_roll4w,0.10395889
unique_posters_delta,0.10275243
std_word_count,0.101290345
pct_very_negative_roll4w,0.09684114
pct_neutral_delta,0.08091558
pct_very_negative_delta,0.07525085
post_volume_roll2w,0.072376624
avg_compound_delta,0.06508443
suicidality_density_roll2w,0.05747594
isolation_density_roll4w,0.05099449
help_seeking_density_delta,0.048859354
pct_neutral,0.045889392
avg_type_token_ratio_roll4w,0.037800174
week_cos,0.036741216
first_person_plural_ratio,0.036399294
pct_very_negative_roll2w,0.035993822
domestic_stress_density_delta,0.03584734
first_person_singular_ratio,0.03018671
isolation_density,0.028196441
avg_compound,0.027946962
topic_shift_jsd_delta,0.02683495
avg_word_count,0.025613295
suicidality_density_roll4w,0.025415093
first_person_singular_ratio_delta,0.024674842
pct_positive,0.023601212
first_person_plural_ratio_roll4w,0.023494545
avg_flesch_kincaid_roll4w,0.022061246
avg_neutral_delta,0.020507323
first_person_plural_ratio_roll2w,0.018518494
topic_shift_jsd_4w_delta,0.016893297
avg_flesch_kincaid_delta,0.016242675
avg_negative_roll2w,0.016114557
hopelessness_density_roll2w,0.015900537
first_person_singular_ratio_roll2w,0.015809847
avg_negative_roll4w,0.013468976
pct_positive_roll2w,0.013230875
suicidality_density,0.0131573705
first_person_plural_ratio_delta,0.012857328
hopelessness_density_roll4w,0.0125332195
avg_flesch_kincaid,0.011687811
avg_neutral_roll2w,0.011675553
avg_type_token_ratio_roll2w,0.011431079
new_poster_ratio_roll4w,0.010247861
pct_very_negative,0.008133717
hopelessness_density,0.007692733
domestic_stress_density,0.0075820396
topic_shift_jsd_4w_roll2w,0.005865349
pct_negative_roll2w,0.005644502
avg_type_token_ratio,0.0056372667
topic_entropy,0.0051924274
hopelessness_density_delta,0.005157671
distress_density,0.0051440606
avg_type_token_ratio_delta,0.0020007705
avg_negative,0.0015629925
avg_flesch_kincaid_roll2w,0.0013992637
post_volume,0.0
pct_negative,0.0
avg_char_count,0.0
avg_comments_delta,0.0
economic_stress_density_delta,0.0
pct_negative_delta,0.0
distress_density_delta,0.0
isolation_density_delta,0.0
pct_positive_delta,0.0
std_word_count_delta,0.0
dominant_topic,0.0
avg_negative_delta,0.0
avg_char_count_delta,0.0
avg_comments,0.0
unique_posters,0.0
posting_time_entropy,0.0
topic_entropy_delta,0.0
posting_time_entropy_delta,0.0
post_volume_delta,0.0
posting_time_entropy_roll2w,0.0
topic_shift_jsd_roll2w,0.0
topic_entropy_roll2w,0.0
avg_positive_roll2w,0.0
pct_neutral_roll2w,0.0
avg_char_count_roll2w,0.0
avg_compound_roll2w,0.0
avg_word_count_roll2w,0.0
avg_comments_roll2w,0.0
economic_stress_density_roll2w,0.0
domestic_stress_density_roll2w,0.0
avg_compound_roll4w,0.0
avg_word_count_roll4w,0.0
pct_positive_roll4w,0.0
pct_negative_roll4w,0.0
avg_positive_roll4w,0.0
avg_neutral_roll4w,0.0
avg_char_count_roll4w,0.0
std_word_count_roll4w,0.0
first_person_singular_ratio_roll4w,0.0
distress_density_roll4w,0.0
avg_comments_roll4w,0.0
post_volume_roll4w,0.0
domestic_stress_density_roll4w,0.0
unique_posters_roll4w,0.0
posting_time_entropy_roll4w,0.0
topic_shift_jsd_roll4w,0.0
topic_shift_jsd_4w_roll4w,0.0
week_sin,0.0
